id,count,site,locality,date,vaccine_type,posted,website
1381159080891453447,,Cvs - Randolph,Randolph,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Raynham,Raynham,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Seekonk,Seekonk,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Shrewsbury,Shrewsbury,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Somerset,Somerset,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Springfield,Springfield,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Taunton,Taunton,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159080891453447,,Cvs - Waltham,Waltham,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Agawam,Agawam,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Attleboro,Attleboro,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Beverly,Beverly,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Brockton,Brockton,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Cambridge,Cambridge,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Chelsea,Chelsea,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - East Boston,East Boston,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Fall River,Fall River,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
1381159079998070785,,Cvs - Gardner,Gardner,2021-04-11 08:16:00,,2021-04-11 08:16:00,https://t.co/cvau09jxzh
